deni_ref,school_name,school_type,integrated,irish_medium_school,assembly_area,district_council,year_8,year_9,year_10,year_11,year_12,year_13,year_14
1210014,"Ashfield Girls' High School, Belfast",Secondary,No,No,Belfast East,Belfast,134,127,137,134,112,63,67
1210015,"Ashfield Boys' High School, Belfast",Secondary,No,No,Belfast East,Belfast,157,151,152,154,147,89,89
1210021,Belfast Model School for Girls,Secondary,No,No,Belfast North,Belfast,150,194,202,182,192,75,61
1210022,Belfast Boys' Model School,Secondary,No,No,Belfast North,Belfast,194,189,206,212,170,94,68
1230053,St Louise's Comprehensive College,Secondary,No,No,Belfast West,Belfast,244,245,236,273,247,177,126
1230104,"Mercy College, Belfast",Secondary,No,No,Belfast North,Belfast,104,139,158,161,140,73,58
1230155,"St Genevieve's High School, Belfast",Secondary,No,No,Belfast West,Belfast,167,164,169,160,158,109,92
1230182,De La Salle College,Secondary,No,No,Belfast West,Belfast,120,121,154,137,112,73,66
1230275,"St Joseph's College, Belfast",Secondary,No,No,Belfast South,Belfast,159,160,163,156,146,60,54
1230321,Blessed Trinity College,Secondary,No,No,Belfast North,Belfast,206,207,205,211,235,158,122
1230324,All Saints College,Secondary,No,No,Belfast West,Belfast,138,123,139,118,139,98,40
1240291,Colaiste Feirste,Secondary,No,Yes,Belfast West,Belfast,148,178,184,156,157,109,77
1260269,"Hazelwood Integrated College, Newtownabbey",Secondary,Yes,No,Belfast North,Belfast,193,184,180,178,172,93,81
1260294,Malone Integrated College,Secondary,Yes,No,Belfast South,Belfast,150,144,147,142,122,77,36
1410079,"Grosvenor Grammar School, Belfast",Grammar,No,No,Belfast East,Belfast,177,182,179,184,177,161,148
1410270,"Wellington College, Belfast",Grammar,No,No,Belfast South,Belfast,129,125,123,123,121,97,76
1410315,"Bloomfield Collegiate School, Belfast",Grammar,No,No,Belfast East,Belfast,115,114,109,115,118,103,89
1420020,"Campbell College, Belfast",Grammar,No,No,Belfast East,Belfast,138,135,142,151,144,132,126
1420021,"St Mary's Christian Brothers Grammar School, Belfast",Grammar,No,No,Belfast West,Belfast,182,179,174,177,182,145,106
1420022,"Methodist College, Belfast",Grammar,No,No,Belfast South,Belfast,248,256,256,257,255,284,299
1420027,The Royal Belfast Academical Institution,Grammar,No,No,Belfast South,Belfast,158,152,152,169,166,144,132
1420028,Belfast Royal Academy,Grammar,No,No,Belfast North,Belfast,203,209,205,212,214,212,199
1420029,"St Dominic's High School, Belfast",Grammar,No,No,Belfast West,Belfast,146,143,142,144,168,159,160
1420030,"St Malachy's College, Belfast",Grammar,No,No,Belfast North,Belfast,177,177,182,182,208,147,147
1420082,"Dominican College, Fortwilliam",Grammar,No,No,Belfast North,Belfast,154,162,167,149,165,137,126
1420089,"Strathearn School, Belfast",Grammar,No,No,Belfast East,Belfast,123,122,121,120,122,112,105
1420095,Rathmore Grammar School,Grammar,No,No,Belfast South,Belfast,185,185,180,185,184,175,164
1420264,Victoria College,Grammar,No,No,Belfast South,Belfast,142,142,143,144,148,106,123
1420265,"Hunterhouse College, Belfast",Grammar,No,No,Belfast South,Belfast,104,106,105,110,108,113,97
1420277,"Aquinas Grammar School, Belfast",Grammar,No,No,Belfast South,Belfast,141,145,155,138,155,129,132
2210065,Castlederg High School,Secondary,No,No,West Tyrone,Derry City And Strabane,69,78,85,79,87,33,31
2210125,Omagh High School,Secondary,No,No,West Tyrone,Fermanagh And Omagh,77,65,94,84,66,45,31
2210302,Limavady High School,Secondary,No,No,East Londonderry,Causeway Coast And Glens,141,160,156,146,125,45,55
2210306,"Lisneal College, Londonderry",Secondary,No,No,Foyle,Derry City And Strabane,204,205,212,217,209,70,75
2210312,"Devenish College, Enniskillen",Secondary,No,No,Fermanagh And South Tyrone,Fermanagh And Omagh,153,152,118,125,124,45,40
2230077,"St Mary's, Limavady",Secondary,No,No,East Londonderry,Causeway Coast And Glens,77,77,118,128,95,52,36
2230081,"St Mary's College, Londonderry",Secondary,No,No,Foyle,Derry City And Strabane,134,137,137,153,138,96,78
2230099,"St Fanchea's College, Enniskillen",Secondary,No,No,Fermanagh And South Tyrone,Fermanagh And Omagh,68,61,53,66,64,13,12
2230100,"St Joseph's College, Enniskillen",Secondary,No,No,Fermanagh And South Tyrone,Fermanagh And Omagh,47,48,52,48,52,10,10
2230109,"St Mary's College, Irvinestown",Secondary,No,No,Fermanagh And South Tyrone,Fermanagh And Omagh,34,49,33,30,40,0,0
2230122,"St Patrick's & St Brigid's College, Claudy",Secondary,No,No,East Londonderry,Derry City And Strabane,81,65,104,107,108,0,0
2230131,"St Joseph's Boys' School, Creggan",Secondary,No,No,Foyle,Derry City And Strabane,130,137,143,128,107,42,37
2230138,"Dean Maguirc College, Carrickmore",Secondary,No,No,West Tyrone,Fermanagh And Omagh,107,117,106,122,122,54,48
2230144,"St Patrick's College, Dungiven",Secondary,No,No,East Londonderry,Causeway Coast And Glens,58,58,62,72,45,30,30
2230148,St John's Business and Enterprise College,Secondary,No,No,West Tyrone,Fermanagh And Omagh,23,21,22,39,25,0,0
2230166,"St Aidan's High School, Derrylin",Secondary,No,No,Fermanagh And South Tyrone,Fermanagh And Omagh,65,54,44,55,52,0,0
2230188,"St Cecilia's College, Derry",Secondary,No,No,Foyle,Derry City And Strabane,137,136,133,142,137,95,74
2230225,"St Brigid's College, Carnhill",Secondary,No,No,Foyle,Derry City And Strabane,183,155,167,150,145,59,52
2230298,"Sacred Heart College, Omagh",Secondary,No,No,West Tyrone,Fermanagh And Omagh,116,106,122,97,127,41,35
